Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Current_Mutation_Rate,Current_Exploration_Factor,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-75677.39848518313,6.65,3.7369946997530064,3.889136668584577,0.0001629821417150623,2.1412900785833244e-08,0.8632633788421514,23.336847394017212,46.89023086286317,1581.4555942686982,0.5,1.0,800000000.0,10000000.0,1300.0,1300000.0,2000000.0,100000.0,32400.0,32400.0,1.0,1.0,7.6087867669087155,42.869563770513075,0,0,0,75626.92013464571,0,0,0
2,-38957.46616283012,7.57,2.665567743796173,2.735459524577882,4.051595725584889e-08,4.5569559070646193e-07,0.5142716663728003,2.1345222226116567,9.175833388529542,101.98933355914887,0.5,1.0,827367883.231604,607587405.1250216,794890441.3831373,417535706.29668045,213120672.31598815,809791979.0477182,673926015.6889051,288474.2441865865,32.59631044724812,8870351.813420687,1364.5321376004588,179.23997221039065,0,0,0,37413.694053019266,0,0,0
3,-38957.46616283012,7.57,2.665567743796173,2.735459524577882,4.051595725584889e-08,4.5569559070646193e-07,0.5142716663728003,2.1345222226116567,9.175833388529542,101.98933355914887,0.5,1.0,827367883.231604,607587405.1250216,794890441.3831373,417535706.29668045,213120672.31598815,809791979.0477182,673926015.6889051,288474.2441865865,32.59631044724812,8870351.813420687,1364.5321376004588,179.23997221039065,0,0,0,37413.694053019266,0,0,0
4,-36835.564512636425,7.43,2.580769491044709,2.639804757755362,1.7047933842384566e-07,3.450033825291854e-08,0.4929093779016317,2.1393426865340777,8.785021440417998,102.68194424658259,0.5,1.0,860336114.3969871,607587405.1250216,794890441.3831373,417535706.29668045,213120672.31598815,500989785.81622463,907157557.5231432,684329289.5564635,32.59631044724812,8870351.813420687,1826.8163798968237,165.90233740038428,0,0,0,34842.84579533922,0,0,0
5,-36835.564512636425,7.43,2.580769491044709,2.639804757755362,1.7047933842384566e-07,3.450033825291854e-08,0.4929093779016317,2.1393426865340777,8.785021440417998,102.68194424658259,0.5,1.0,860336114.3969871,607587405.1250216,794890441.3831373,417535706.29668045,213120672.31598815,500989785.81622463,907157557.5231432,684329289.5564635,32.59631044724812,8870351.813420687,1826.8163798968237,165.90233740038428,0,0,0,34842.84579533922,0,0,0
6,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.5,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
7,-27659.23763958858,7.4,2.191495347945929,2.2417326808132394,1.2357252206385283e-05,3.1873773620461066e-09,0.31040383050969267,4.570010839705269,0.39823927024164874,212.6460641700536,0.5,1.0,4753655053.116006,2694444049.921812,133201791.89933279,11337656301.811234,28225225.841301456,2571028667.9414234,77499124.09243149,7590716.541305711,13422407.362147138,8359897.149551705,2403.598504862907,128.8120735951116,0,0,0,25126.827061130563,0,0,0
8,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.5,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
9,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.5,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
10,-32116.910115052586,7.3100000000000005,2.3799931301584416,2.4239118303783,5.58803190431334e-06,5.134053493449642e-08,0.41192309166564,1.7097421763682372,5.121292465882471,82.57272211563287,0.5,1.0,190092664.8557564,607587405.1250216,794890441.3831373,152508610.79053083,23970591.51723903,350432616.43785554,534485005.9191473,543107359.6987048,32.59631044724812,13973569.425158113,2560.8307278485518,179.33657996463327,0,0,0,29376.7428072394,0,0,0
