Generation,Best_Fitness,Time_to_Target,Max_Theta1,Max_Theta2,Max_X_Deviation,Max_L_Deviation,Max_X_Acceleration,Max_L_Acceleration,Max_X_Jerk,Max_L_Jerk,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,R1,R2,Fitness_ISE_x,Fitness_ISE_l,Fitness_ISE_theta1,Fitness_ISE_theta2,Fitness_MSE_theta1,Fitness_MSE_theta2,Fitness_q_ddot1_value,Fitness_q_ddot3_value,Fitness_MSE_time
1,-2060475191.8454914,13.870000000000001,0.9759699287085292,0.9836156256572984,0.0015221152973472485,0.0010287535574990958,0.15399139029539594,1.3827826139979649,0.12132665452541935,64.73525317009396,2164463161398.924,3778897990703.5347,5668022071875.963,9845130268825.445,371681605402.02124,551498300891.0392,1445796086.5189466,31993607717.97731,97294165.8824128,94015298.57279527,9006.056006675424,397.0229458289571,0.0,46.458481571930676,0.0,580.4998194223192,9.560438787875224,0.0011296983076569652,2060465152.2466695
2,-2060475191.8454914,13.870000000000001,0.9759699287085292,0.9836156256572984,0.0015221152973472485,0.0010287535574990958,0.15399139029539594,1.3827826139979649,0.12132665452541935,64.73525317009396,2164463161398.924,3778897990703.5347,5668022071875.963,9845130268825.445,371681605402.02124,551498300891.0392,1445796086.5189466,31993607717.97731,97294165.8824128,94015298.57279527,9006.056006675424,397.0229458289571,0.0,46.458481571930676,0.0,580.4998194223192,9.560438787875224,0.0011296983076569652,2060465152.2466695
3,-2060475191.8454914,13.870000000000001,0.9759699287085292,0.9836156256572984,0.0015221152973472485,0.0010287535574990958,0.15399139029539594,1.3827826139979649,0.12132665452541935,64.73525317009396,2164463161398.924,3778897990703.5347,5668022071875.963,9845130268825.445,371681605402.02124,551498300891.0392,1445796086.5189466,31993607717.97731,97294165.8824128,94015298.57279527,9006.056006675424,397.0229458289571,0.0,46.458481571930676,0.0,580.4998194223192,9.560438787875224,0.0011296983076569652,2060465152.2466695
4,-586598710.8776911,12.25,1.839791551778204,1.864516875881045,6.31401141593102e-07,0.0005774364101517326,0.27422586423008366,3.189169047712716,0.37402458940953287,156.91547214726063,4172993793641.3853,3778897990703.5347,3429620690958.044,9845130268825.445,371681605402.02124,551498300891.0392,1445796086.5189466,576117197517.161,47185869.82130458,19676733.401328508,3563.725379577317,322.71203789869134,0.0,159.36309324020212,0.0,2085.8539082671277,50.85399607444416,0.012288142580953317,586592528.356988
5,-11685977.146831399,9.17,1.9337294514173988,1.9590001858770507,1.1485662470001046e-06,4.020974136986766e-07,0.28176357272292313,5.7225642089286675,0.33468921263233864,261.4338746901711,4172993793641.3853,7676017914893.217,334946468399.7129,7098378026621.169,371681605402.02124,551498300891.0392,231468588007.09555,962489075483.2772,66808453.73314356,25839918.46959061,3737.6039150644865,176.75506333459657,0.0,187.3089784146463,0.0,2302.6090369597914,163.73870562655694,0.013611529267450594,11679409.11752047
6,-11685977.146831399,9.17,1.9337294514173988,1.9590001858770507,1.1485662470001046e-06,4.020974136986766e-07,0.28176357272292313,5.7225642089286675,0.33468921263233864,261.4338746901711,4172993793641.3853,7676017914893.217,334946468399.7129,7098378026621.169,371681605402.02124,551498300891.0392,231468588007.09555,962489075483.2772,66808453.73314356,25839918.46959061,3737.6039150644865,176.75506333459657,0.0,187.3089784146463,0.0,2302.6090369597914,163.73870562655694,0.013611529267450594,11679409.11752047
7,-11685977.146831399,9.17,1.9337294514173988,1.9590001858770507,1.1485662470001046e-06,4.020974136986766e-07,0.28176357272292313,5.7225642089286675,0.33468921263233864,261.4338746901711,4172993793641.3853,7676017914893.217,334946468399.7129,7098378026621.169,371681605402.02124,551498300891.0392,231468588007.09555,962489075483.2772,66808453.73314356,25839918.46959061,3737.6039150644865,176.75506333459657,0.0,187.3089784146463,0.0,2302.6090369597914,163.73870562655694,0.013611529267450594,11679409.11752047
8,-10128.115646466747,7.4,2.9735042800402867,3.008484828784552,0.004809064363940019,2.0314660525988515e-06,0.4340965285072873,2.760748882491002,2.1468815798282024,122.27182027419379,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,5349365187606.277,66808453.73314356,97437207.00370385,4017.4192931236794,235.74821499280938,0.0,406.2254964689373,0.0,5430.588579016088,38.10867196087658,0.025390904355071,0
9,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
10,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
11,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
12,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
13,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
14,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
15,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
16,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
17,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
18,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
19,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
20,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
21,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
22,-9727.064321863912,7.51,2.871865897319016,2.9067698328759377,0.002181141705050793,1.066646372227531e-06,0.41848252719852314,5.34682639416226,1.731817690806217,244.7339244155848,4172993793641.3853,7106401580335.509,334946468399.7129,9210039669874.31,371681605402.02124,551498300891.0392,231468588007.09555,4967541203567.235,66808453.73314356,25839918.46959061,3953.206713262267,188.33265569213665,0.0,372.97154969077934,0.0,5069.586516790564,142.942762446551,0.024123981614372403,0
