Thu Apr 10 20:13:38 2025    output.prof

         354115 function calls (353583 primitive calls) in 0.266 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.266    0.266 {built-in method builtins.exec}
        1    0.000    0.000    0.266    0.266 <string>:1(<module>)
        1    0.000    0.000    0.266    0.266 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\scripts\run_simulation.py:12(main)
        1    0.000    0.000    0.252    0.252 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:97(simulate)
        1    0.009    0.009    0.251    0.251 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:137(_run_simulation)
     2000    0.013    0.000    0.134    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:186(step)
     2000    0.007    0.000    0.099    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:143(compute_control_inputs)
     2000    0.014    0.000    0.097    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\integrator.py:27(rk4_step)
     8000    0.016    0.000    0.083    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:216(state_derivative_func)
    28152    0.011    0.000    0.053    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
    28233    0.018    0.000    0.042    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
     8000    0.006    0.000    0.036    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:79(compute_state_derivative)
       38    0.000    0.000    0.035    0.001 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:185(recalculate_gain)
       38    0.001    0.000    0.035    0.001 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:16(compute_gain)
       38    0.001    0.000    0.034    0.001 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:30(_compute_gain_cached)
     8000    0.028    0.000    0.030    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\physics_computations.py:248(compute_state_derivative)
    29259    0.023    0.000    0.023    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       38    0.002    0.000    0.021    0.001 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:544(solve_discrete_are)
     2000    0.014    0.000    0.015    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:284(calculate_feedforward)
        1    0.000    0.000    0.014    0.014 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\scripts\run_simulation.py:19(load_config)
        1    0.000    0.000    0.014    0.014 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\__init__.py:117(safe_load)
        1    0.000    0.000    0.014    0.014 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\__init__.py:74(load)
        1    0.000    0.000    0.013    0.013 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:47(get_single_data)
        1    0.000    0.000    0.013    0.013 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:29(get_single_node)
        1    0.000    0.000    0.013    0.013 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:50(compose_document)
    245/1    0.000    0.000    0.013    0.013 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:63(compose_node)
     29/1    0.000    0.000    0.013    0.013 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:117(compose_mapping_node)
     4000    0.001    0.000    0.012    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:278(compute_desired_trolley_position)
      724    0.000    0.000    0.012    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:94(check_event)
     2000    0.001    0.000    0.011    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:252(apply_constraints)
     4000    0.011    0.000    0.011    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\utils.py:3(compute_target_position_trajectory)
     1913    0.001    0.000    0.009    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:113(check_token)
     2000    0.001    0.000    0.009    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2100(clip)
     2000    0.001    0.000    0.009    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:257(compute_error)
     2038    0.001    0.000    0.008    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
     2000    0.001    0.000    0.008    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:266(compute_desired_state)
       38    0.000    0.000    0.008    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:150(_discretize_system)
     2000    0.001    0.000    0.007    0.000 {method 'clip' of 'numpy.ndarray' objects}
      350    0.000    0.000    0.007    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:156(fetch_more_tokens)
     2000    0.001    0.000    0.007    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\controllers\LQR_controller.py:169(update_errors)
     2114    0.004    0.000    0.007    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:292(hstack)
     2000    0.007    0.000    0.007    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_methods.py:90(_clip)
       38    0.004    0.000    0.006    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qz.py:320(ordqz)
      141    0.000    0.000    0.006    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:427(parse_block_mapping_key)
       38    0.000    0.000    0.006    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\dtime.py:56(sample_system)
       38    0.000    0.000    0.006    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:1229(sample)
      114    0.001    0.000    0.006    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:173(__init__)
     2000    0.005    0.000    0.005    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:100(get_control_input)
     2000    0.002    0.000    0.005    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:185(_update_simulation_data)
      112    0.000    0.000    0.004    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:446(parse_block_mapping_value)
      350    0.001    0.000    0.003    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:752(scan_to_next_token)
      114    0.000    0.000    0.003    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\nlsys.py:115(__init__)
     2114    0.002    0.000    0.003    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
      205    0.000    0.000    0.003    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:668(fetch_plain)
     4764    0.003    0.000    0.003    0.000 {built-in method numpy.array}
     2000    0.003    0.000    0.003    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:109(check_constraints)
       38    0.001    0.000    0.003    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_solvers.py:753(_are_validate_args)
    28234    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      245    0.001    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:273(parse_node)
      114    0.000    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\lti.py:33(__init__)
      205    0.001    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1270(scan_plain)
      224    0.000    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:270(parse_block_node_or_indentless_sequence)
       38    0.002    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qz.py:70(_qz)
      114    0.000    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:111(__init__)
     2000    0.001    0.000    0.002    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:96(energy)
     4332    0.002    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:99(forward)
      380    0.001    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\_lib\_util.py:491(_asarray_validated)
       38    0.000    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:1515(ss)
     3065    0.001    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:145(need_more_tokens)
    28152    0.002    0.000    0.002    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2416(_all_dispatcher)
